City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Ituporanga,BR,2020-12-22 17:13:02,-27.41,-49.6,77.0,71,56,1.01
70,Chuy,UY,2020-12-22 17:13:02,-33.7,-53.46,71.28,47,0,9.33
71,Epe,NG,2020-12-22 17:13:02,6.58,3.98,82.15,77,19,8.99
72,Sorong,ID,2020-12-22 17:13:02,-0.88,131.25,82.29,79,87,11.88
73,Severo-Kurilsk,RU,2020-12-22 17:13:03,50.68,156.12,23.07,89,92,27.42
74,Narsaq,GL,2020-12-22 17:13:03,60.92,-46.05,28.4,79,75,3.36
75,Lakes Entrance,AU,2020-12-22 17:13:03,-37.88,147.98,57.99,93,97,1.99
76,Hobyo,SO,2020-12-22 17:13:04,5.35,48.53,79.48,75,79,23.26
77,Shulan,CN,2020-12-22 17:13:04,44.42,126.95,16.88,95,7,7.11
78,Seoul,KR,2020-12-22 17:09:47,37.57,126.98,28.4,92,1,3.33
79,Shiyan,CN,2020-12-22 17:13:04,32.65,110.78,41.88,66,64,4.09
80,Batagay-Alyta,RU,2020-12-22 17:13:04,67.8,130.41,-35.86,81,66,0.54
81,Iqaluit,CA,2020-12-22 17:12:10,63.75,-68.51,5.0,60,75,16.11
82,Broken Hill,AU,2020-12-22 17:13:05,-31.95,141.43,60.8,55,88,8.05
83,Davila,PH,2020-12-22 17:13:05,18.47,120.58,78.21,84,27,17.94
84,Oga,IT,2020-12-22 17:13:05,46.46,10.35,48.99,100,20,2.24
85,Flinders,AU,2020-12-22 17:13:06,-34.58,150.86,59.0,72,27,7.0
86,Bassano,CA,2020-12-22 17:13:06,50.78,-112.47,24.8,100,100,25.28
87,Jimma,ET,2020-12-22 17:13:06,7.67,36.83,65.91,56,56,1.32
88,Esperance,AU,2020-12-22 17:13:06,-33.87,121.9,55.4,76,0,10.29
89,Mastung,PK,2020-12-22 17:13:06,29.8,66.84,39.07,70,0,2.35
90,Pala,TD,2020-12-22 17:13:07,9.36,14.9,83.8,15,64,3.83
91,Nome,US,2020-12-22 17:13:07,64.5,-165.41,28.4,86,90,28.86
92,Tiksi,RU,2020-12-22 17:13:07,71.69,128.87,-18.38,89,100,4.63
93,Meulaboh,ID,2020-12-22 17:13:07,4.14,96.13,77.86,87,100,3.62
94,Kirakira,SB,2020-12-22 17:13:08,-10.45,161.92,79.52,80,32,3.04
95,Isangel,VU,2020-12-22 17:13:08,-19.55,169.27,76.66,84,5,5.28
96,Mahebourg,MU,2020-12-22 17:13:08,-20.41,57.7,75.2,94,75,11.41
97,Carnarvon,AU,2020-12-22 17:13:09,-24.87,113.63,77.0,88,0,6.93
98,Mitu,CO,2020-12-22 17:13:09,1.2,-70.17,82.18,84,97,5.08
99,Cartagena,CO,2020-12-22 17:13:09,10.4,-75.51,89.6,70,0,4.7
100,Ribera,IT,2020-12-22 17:13:09,37.5,13.26,53.01,95,19,5.99
101,Gobabis,NA,2020-12-22 17:11:02,-22.45,18.97,84.2,30,100,8.05
102,Busselton,AU,2020-12-22 17:13:10,-33.65,115.33,63.0,72,0,5.01
103,Nanortalik,GL,2020-12-22 17:13:10,60.14,-45.24,33.26,94,100,5.26
104,Sakaiminato,JP,2020-12-22 17:13:10,35.55,133.23,39.2,93,75,6.93
105,Puerto Ayora,EC,2020-12-22 17:13:10,-0.74,-90.35,78.8,65,75,13.87
106,Ostrovnoy,RU,2020-12-22 17:13:11,68.05,39.51,32.02,97,100,4.72
107,Krasnoselkup,RU,2020-12-22 17:13:11,65.7,82.47,-44.36,79,67,4.07
108,Ambon,ID,2020-12-22 17:13:11,-3.7,128.18,82.65,76,100,10.83
109,Butaritari,KI,2020-12-22 17:13:12,3.07,172.79,80.29,81,13,14.76
110,Richards Bay,ZA,2020-12-22 17:13:12,-28.78,32.04,75.81,94,99,10.4
111,Biloela,AU,2020-12-22 17:13:12,-24.42,150.5,71.24,77,97,12.46
112,Hanko,FI,2020-12-22 17:13:12,59.83,22.95,39.0,88,100,3.0
113,Morondava,MG,2020-12-22 17:13:12,-20.28,44.28,83.68,75,1,12.59
114,Healdsburg,US,2020-12-22 17:11:50,38.61,-122.87,48.99,87,20,4.7
115,Mocuba,MZ,2020-12-22 17:13:13,-16.84,36.99,80.15,77,35,3.15
116,The Valley,AI,2020-12-22 17:13:12,18.22,-63.06,86.0,69,40,16.11
117,Hermanus,ZA,2020-12-22 17:13:13,-34.42,19.23,73.0,78,82,7.0
118,Xam Nua,LA,2020-12-22 17:13:13,20.42,104.04,47.21,93,42,1.61
119,Chokurdakh,RU,2020-12-22 17:13:14,70.63,147.92,-16.24,89,100,6.69
120,Turtas,RU,2020-12-22 17:13:14,58.94,69.13,10.38,96,100,4.65
121,Vangaindrano,MG,2020-12-22 17:13:14,-23.35,47.6,75.04,86,16,5.66
122,Ahome,MX,2020-12-22 17:13:14,25.92,-109.18,57.2,93,90,2.33
123,Praia Da Vitoria,PT,2020-12-22 17:13:15,38.73,-27.07,57.0,66,75,20.54
124,Cap Malheureux,MU,2020-12-22 17:13:15,-19.98,57.61,78.01,81,12,10.0
125,Saskylakh,RU,2020-12-22 17:13:15,71.92,114.08,-26.88,84,100,5.53
126,Nato,PH,2020-12-22 17:13:15,13.61,123.54,77.5,87,53,4.65
127,East London,ZA,2020-12-22 17:13:15,-33.02,27.91,69.8,94,20,5.82
128,Roma,US,2020-12-22 17:09:16,43.21,-75.46,37.0,80,90,11.41
129,Petropavlovsk-Kamchatskiy,RU,2020-12-22 17:13:16,53.05,158.65,15.8,66,75,4.47
130,Tuktoyaktuk,CA,2020-12-22 17:13:16,69.45,-133.04,-25.6,74,5,12.75
131,Balaipungut,ID,2020-12-22 17:13:16,1.05,101.28,78.8,83,40,2.62
132,Inuvik,CA,2020-12-22 17:13:17,68.35,-133.72,-18.4,75,73,6.93
133,Cayenne,GF,2020-12-22 17:13:17,4.93,-52.33,86.0,66,75,13.87
134,Houma,US,2020-12-22 17:09:36,29.6,-90.72,64.0,82,1,8.05
135,Venice,US,2020-12-22 17:11:34,27.1,-82.45,66.0,63,1,9.17
136,Thompson,CA,2020-12-22 17:13:17,55.74,-97.86,-11.2,76,40,6.93
137,Joshimath,IN,2020-12-22 17:13:18,30.57,79.57,40.6,41,0,6.98
138,Maningrida,AU,2020-12-22 17:13:18,-12.07,134.27,78.55,88,100,6.53
139,Kupang,ID,2020-12-22 17:13:18,-10.17,123.58,79.16,84,100,6.38
140,Esil,KZ,2020-12-22 17:13:18,51.96,66.4,-0.47,91,83,9.8
141,Sungaipenuh,ID,2020-12-22 17:13:19,-2.08,101.38,66.07,95,98,1.79
142,Fereydun Kenar,IR,2020-12-22 17:13:19,36.69,52.52,42.8,100,6,4.7
143,College,US,2020-12-22 17:13:19,64.86,-147.8,24.8,73,90,8.05
144,Port-Gentil,GA,2020-12-22 17:13:19,-0.72,8.78,84.2,70,20,5.82
145,Husavik,IS,2020-12-22 17:13:20,66.04,-17.34,23.0,85,75,6.93
146,Coron,PH,2020-12-22 17:13:20,12.0,120.2,78.98,79,100,4.61
147,Jamestown,US,2020-12-22 17:13:20,42.1,-79.24,34.0,86,90,14.09
148,Olinda,BR,2020-12-22 17:11:53,-8.01,-34.86,82.4,58,40,10.29
149,Grootfontein,NA,2020-12-22 17:13:20,-19.57,18.12,81.79,40,97,3.11
150,Moroni,KM,2020-12-22 17:13:21,-11.7,43.26,80.82,72,89,2.68
151,Sekoma,BW,2020-12-22 17:13:21,-24.4,23.88,81.75,53,100,8.41
152,Dali,CN,2020-12-22 17:13:21,25.7,100.18,43.27,83,12,4.63
153,La Ronge,CA,2020-12-22 17:13:21,55.1,-105.28,-4.0,83,75,9.17
154,Dingle,PH,2020-12-22 17:13:21,11.0,122.67,75.49,90,58,6.42
155,At-Bashi,KG,2020-12-22 17:13:22,41.17,75.81,10.26,64,98,1.45
156,Lahan,NP,2020-12-22 17:13:22,26.73,86.5,60.19,51,0,2.42
157,Xinqing,CN,2020-12-22 17:13:22,48.23,129.5,4.14,93,67,0.27
158,Bama,NG,2020-12-22 17:13:22,11.52,13.69,81.86,19,0,10.87
159,Pisco,PE,2020-12-22 17:13:23,-13.7,-76.22,71.6,78,20,10.29
160,Vila Franca Do Campo,PT,2020-12-22 17:13:23,37.72,-25.43,57.2,67,40,13.87
161,Kloulklubed,PW,2020-12-22 17:13:23,7.04,134.26,80.6,83,75,8.05
162,Stuttgart,DE,2020-12-22 17:11:04,48.78,9.18,55.99,93,75,9.17
