City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
252,Alto Araguaia,BR,84.72,light rain,-17.31,-53.22,Araguaia Palace Hotel
253,Wamba,NG,78.03,scattered clouds,8.93,8.6,Roma Zee Guest House Annex
254,Cayenne,GF,77.0,overcast clouds,4.93,-52.33,Hôtel Le Dronmi
255,Mozarlandia,BR,83.98,moderate rain,-14.74,-50.57,Hotel Santa Mônica
256,Lhokseumawe,ID,76.57,broken clouds,5.18,97.15,OYO 3278 Penginapan Alfajri
276,Grand-Lahou,CI,79.18,light rain,5.14,-5.02,Hotel Beatitude de Grand Lahou
284,Masvingo,ZW,70.2,overcast clouds,-20.06,30.83,River Side Lodge
285,Bambanglipuro,ID,75.22,clear sky,-7.95,110.28,Puri Brata
287,Mogadishu,SO,77.95,broken clouds,2.04,45.34,Hotel Juba
290,Conde,BR,82.4,scattered clouds,-7.26,-34.91,Pousada Beija Flor
296,Jaque,PA,82.65,light rain,7.52,-78.17,Imbu Bua Lodge
299,Kantang,TH,73.76,moderate rain,7.41,99.52,Reng Ta Chai Boutique HomeStay
305,Las Lomas,PA,89.6,few clouds,8.43,-82.4,Hotel Castilla
308,Kindu,CD,72.52,light rain,-2.95,25.95,Résidence Okanda
309,Tautira,PF,84.2,light rain,-17.73,-149.15,Pension Oaoa
312,Roebourne,AU,83.48,clear sky,-20.78,117.13,Harding River Caravan Park
315,Kiunga,PG,71.62,light rain,-6.12,141.29,Airport Lodge Kiunga
324,Natal,BR,82.4,broken clouds,-5.79,-35.21,Villa Park Hotel | Natal
325,Isangel,VU,79.66,overcast clouds,-19.55,169.27,Volcano Sea View Tree House
332,Kavieng,PG,83.5,scattered clouds,-2.57,150.8,Nusa Island Retreat
333,Rawson,AR,86.0,scattered clouds,-43.3,-65.1,Hotel Punta León
334,Mantenopolis,BR,78.62,light rain,-18.86,-41.12,Deed's Hotel
335,Ixtapa,MX,75.2,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
